trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.1, 'e': 0.8727445076457513}",20,0,-85.2811990898013,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
70,False,"{'a': 0.1, 'e': 0.869058666794777}",25,0,-50.029876861231855,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
71,False,"{'a': 0.1, 'e': 0.8653239416229412}",20,10,-29.181613606852423,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
72,False,"{'a': 0.1, 'e': 0.8615405422075505}",20,0,-64.78010355329786,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
73,False,"{'a': 0.1, 'e': 0.8577086813638242}",30,0,-90.81133426134697,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
74,False,"{'a': 0.1, 'e': 0.8538285746329243}",20,0,-123.65558027758676,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
75,False,"{'a': 0.1, 'e': 0.8499004402698315}",35,17,-68.6731921451749,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 1}",1
76,False,"{'a': 0.1, 'e': 0.8459244992310679}",20,0,-97.88533275099714,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
77,False,"{'a': 0.1, 'e': 0.8419009751622688}",20,3,-112.78534114069026,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 2}",1
78,False,"{'a': 0.1, 'e': 0.8378300943856019}",25,0,-140.32604519200098,"{0: 17, 1: 4, 2: 0, 3: 1, 4: 3}",0
79,False,"{'a': 0.1, 'e': 0.8337120858870376}",20,8,15.16481117833772,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.1, 'e': 0.8295471813034682}",20,0,-198.50597116965258,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
81,False,"{'a': 0.1, 'e': 0.8253356149096783}",20,0,-66.86184350375432,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
82,False,"{'a': 0.1, 'e': 0.8210776236051671}",20,0,-32.376383370893116,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
83,False,"{'a': 0.1, 'e': 0.8167734469008229}",30,0,-131.74606718175738,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
84,False,"{'a': 0.1, 'e': 0.8124233269054502}",20,12,-64.97643860512244,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 1}",1
85,False,"{'a': 0.1, 'e': 0.8080275083121519}",30,0,-141.95049170520207,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
86,False,"{'a': 0.1, 'e': 0.8035862383845648}",30,0,-117.24735806390457,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
87,False,"{'a': 0.1, 'e': 0.7990997669429512}",20,0,-108.66215690911014,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
88,False,"{'a': 0.1, 'e': 0.7945683463501467}",30,0,-68.57426297397944,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
89,False,"{'a': 0.1, 'e': 0.7899922314973651}",20,0,-39.22215735491693,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
90,False,"{'a': 0.1, 'e': 0.7853716797898601}",35,0,-141.1877441499875,"{0: 25, 1: 4, 2: 3, 3: 0, 4: 3}",1
91,False,"{'a': 0.1, 'e': 0.7807069511324468}",20,0,-23.43055428146635,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
92,False,"{'a': 0.1, 'e': 0.7759983079148826}",20,0,-32.313296651800684,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
93,False,"{'a': 0.1, 'e': 0.7712460149971067}",20,0,-66.34047622350477,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
94,False,"{'a': 0.1, 'e': 0.7664503396943425}",30,0,-75.81703466131954,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
95,False,"{'a': 0.1, 'e': 0.7616115517620617}",20,0,-35.53908453059559,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
96,False,"{'a': 0.1, 'e': 0.7567299233808094}",25,0,-37.066199474974674,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
97,False,"{'a': 0.1, 'e': 0.751805729140895}",30,10,-19.66458125019426,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
98,False,"{'a': 0.1, 'e': 0.746839246026946}",20,0,-117.7106757257104,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
99,False,"{'a': 0.1, 'e': 0.7418307534023282}",20,0,-11.568255054741208,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
100,False,"{'a': 0.1, 'e': 0.7367805329934309}",30,0,-139.16519533906717,"{0: 21, 1: 0, 2: 5, 3: 2, 4: 2}",0
101,False,"{'a': 0.1, 'e': 0.7316888688738209}",30,8,-54.64319617415147,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
102,False,"{'a': 0.1, 'e': 0.7265560474482621}",20,0,-62.304611624499415,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
103,False,"{'a': 0.1, 'e': 0.7213823574366063}",25,8,-86.09325387495086,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 2}",1
104,False,"{'a': 0.1, 'e': 0.7161680898575525}",20,0,-22.99532389384492,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
105,False,"{'a': 0.1, 'e': 0.7109135380122773}",35,16,-52.99228173641887,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 0}",1
106,False,"{'a': 0.1, 'e': 0.7056189974679365}",20,0,-5.782218628821308,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
107,False,"{'a': 0.1, 'e': 0.7002847660410397}",25,4,-82.23823022905376,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 1}",1
108,False,"{'a': 0.1, 'e': 0.6949111437806981}",25,0,-27.354575861995905,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
109,False,"{'a': 0.1, 'e': 0.689498432951747}",20,0,-36.81574839893804,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
110,False,"{'a': 0.1, 'e': 0.6840469380177434}",25,0,-115.50996926777988,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
111,False,"{'a': 0.1, 'e': 0.6785569656238399}",20,9,-1.9369624367856237,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.1, 'e': 0.6730288245795361}",25,0,-50.00504257237817,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
113,False,"{'a': 0.1, 'e': 0.6674628258413081}",20,5,-7.486910931039404,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
